Movie Name,Director,text,Movie Rating
Kill Bill: The Whole Bloody Affair,quentintarantino,"['quentintarantino', 'action', 'crime', 'thriller', 'bride', 'must', 'kill', 'exboss', 'lover', 'bill', 'betrayed', 'wedding', 'rehearsal', 'shot', 'head', 'took', 'away', 'unborn', 'daughter', 'first', 'must', 'make', 'four', 'member', 'deadly', 'viper', 'assassination', 'squad', 'suffer']",8.8
777 Charlie,kiranrajk,"['kiranrajk', 'adventure', 'comedy', 'drama', 'dharma', 'stuck', 'rut', 'negative', 'lonely', 'lifestyle', 'spends', 'day', 'comfort', 'loneliness', 'pup', 'named', 'charlie', 'enters', 'life', 'give', 'new', 'perspective', 'towards']",8.8
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,haruosotozaki,"['haruosotozaki', 'animation', 'action', 'fantasy', 'tanjiro', 'team', 'zenitsu', 'inosuke', 'investigate', 'missing', 'person', 'case', 'mountain', 'natagumo', 'slowly', 'begin', 'realize', 'entire', 'mountain', 'controlled', 'family', 'demon', 'spider', 'creature']",8.8
Manichithrathazhu,fazil,"['fazil', 'comedy', 'horror', 'mystery', 'forbidden', 'room', 'old', 'bungalow', 'unbolted', 'spirit', 'vengeful', 'dancer', 'unleashed']",8.8
#Home,rojinthomas,"['rojinthomas', 'drama', 'oliver', 'twist', 'indrans', 'want', 'techsavvy', 'become', 'better', 'companion', 'two', 'son', 'spend', 'time', 'phone', 'loved', 'one']",8.8
Balkan Spy,"dusankovacevic ""bozidarbotanikolic""","['dusankovacevic', 'bozidarbotanikolic', 'comedy', 'drama', 'convinced', 'subtenant', 'spy', 'enemy', 'state', 'man', 'fall', 'deep', 'paranoia', 'lead', 'absurd', 'destructive', 'chain', 'event']",8.8
Maratonci trce pocasni krug,slobodansijan,"['slobodansijan', 'comedy', 'drama', 'topalovic', 'family', 'burial', 'business', 'generation', 'old', '150', 'yr', 'old', 'pantelija', 'dy', 'five', 'generation', 'heir', 'start', 'fight', 'inheritance']",8.8
Süt Kardesler,ertemegilmez,"['ertemegilmez', 'comedy', 'family', 'mystery', 'saban', 'ramazan', 'bayram', 'sailor', 'ottoman', 'navy', 'hüsamettin', 'commander', 'hüsamettins', 'aide', 'ramazan', 'saban', 'foster', 'son', 'hüsamettins', 'sister', 'bayram', 'see', 'full', 'summary', '»']",8.8
Spider-Man: Across the Spider-Verse,joaquimdossantos kemppowers justink.thompson,"['joaquimdossantos', 'kemppowers', 'justinkthompson', 'animation', 'action', 'adventure', 'mile', 'morale', 'catapult', 'across', 'multiverse', 'encounter', 'team', 'spiderpeople', 'charged', 'protecting', 'existence', 'hero', 'clash', 'handle', 'new', 'threat', 'mile', 'must', 'redefine', 'mean', 'hero']",8.7
Interstellar,christophernolan,"['christophernolan', 'adventure', 'drama', 'scifi', 'earth', 'becomes', 'uninhabitable', 'future', 'farmer', 'exnasa', 'pilot', 'joseph', 'cooper', 'tasked', 'pilot', 'spacecraft', 'along', 'team', 'researcher', 'find', 'new', 'planet', 'human']",8.7
Goodfellas,martinscorsese,"['martinscorsese', 'biography', 'crime', 'drama', 'story', 'henry', 'hill', 'life', 'mafia', 'covering', 'relationship', 'wife', 'karen', 'mob', 'partner', 'jimmy', 'conway', 'tommy', 'devito']",8.7
The Matrix,lanawachowski lillywachowski,"['lanawachowski', 'lillywachowski', 'action', 'scifi', 'beautiful', 'stranger', 'lead', 'computer', 'hacker', 'neo', 'forbidding', 'underworld', 'discovers', 'shocking', 'truththe', 'life', 'know', 'elaborate', 'deception', 'evil', 'cyberintelligence']",8.7
One Flew Over the Cuckoo's Nest,milosforman,"['milosforman', 'drama', 'fall', '1963', 'korean', 'war', 'veteran', 'criminal', 'pleads', 'insanity', 'admitted', 'mental', 'institution', 'rally', 'scared', 'patient', 'tyrannical', 'nurse']",8.7
Star Wars: Episode V - The Empire Strikes Back,irvinkershner,"['irvinkershner', 'action', 'adventure', 'fantasy', 'rebel', 'overpowered', 'empire', 'luke', 'skywalker', 'begin', 'jedi', 'training', 'yoda', 'friend', 'pursued', 'across', 'galaxy', 'darth', 'vader', 'bounty', 'hunter', 'boba', 'fett']",8.7
Toma,draganbjelogrlic zoranlisinac,"['draganbjelogrlic', 'zoranlisinac', 'biography', 'drama', 'music', 'biopic', 'toma', 'zdravkovic', 'man', 'remembered', 'song', 'unique', 'way', 'sang', 'also', 'bohemian', 'behavior', 'soul']",8.7
Rocketry: The Nambi Effect,madhavan,"['madhavan', 'biography', 'drama', 'based', 'life', 'indian', 'space', 'research', 'organization', 'scientist', 'nambi', 'narayanan', 'framed', 'spy', 'arrested', '1994', 'though', 'free', 'continues', 'fight', 'justice', 'official', 'falsely', 'implicated']",8.7
The Legend of Maula Jatt,bilallashari,"['bilallashari', 'action', 'drama', 'fantasy', 'time', 'untold', 'legend', 'written', 'soil', 'blood', 'hero', 'born', 'maula', 'jatt', 'fierce', 'prizefighter', 'tortured', 'past', 'seek', 'vengeance', 'arch', 'nemesis', 'noori', 'natt', 'feared', 'warrior', 'land', 'punjab']",8.7
Soorarai Pottru,sudhakongara,"['sudhakongara', 'action', 'drama', 'nedumaaran', 'rajangam', 'maara', 'set', 'make', 'common', 'man', 'fly', 'process', 'take', 'world', 'capital', 'intensive', 'industry', 'several', 'enemy', 'stand', 'way']",8.7
Who's Singin' Over There?,slobodansijan,"['slobodansijan', 'adventure', 'comedy', 'drama', 'april', '5', '1941', 'somewhere', 'serbia', 'group', 'people', 'go', 'bus', 'belgrade', 'journey', 'change', 'life', 'forever']",8.7
Pariyerum Perumal,mariselvaraj,"['mariselvaraj', 'drama', 'law', 'student', 'lower', 'caste', 'begin', 'friendship', 'classmate', 'girl', 'belongs', 'higher', 'caste', 'men', 'family', 'start', 'giving', 'trouble']",8.7
"Saban, Son of Saban",ertemegilmez,"['ertemegilmez', 'comedy', 'crime', 'mystery', 'husamettin', 'commander', 'army', 'constantly', 'bothered', 'stupidity', 'one', 'soldier', 'saban', 'discharge', 'army', 'saban', 'friend', 'ramazan', 'work', 'night', 'club', 'see', 'full', 'summary', '»']",8.7
Peranbu,ram,"['ram', 'drama', 'single', 'father', 'try', 'raise', 'daughter', 'cerebral', 'palsy', 'even', 'beginning', 'wake', 'sexuality']",8.7
Kibar Feyzo,atifyilmaz,"['atifyilmaz', 'comedy', 'drama', 'poor', 'peasant', 'feyzo', 'return', 'military', 'service', 'dreaming', 'getting', 'married', 'gülo', 'love', 'life', 'however', 'face', 'many', 'obstacle', 'according', 'tradition', 'man', 'see', 'full', 'summary', '»']",8.7
Zügürt Aga,nesliçölgeçen,"['nesliçölgeçen', 'comedy', 'drama', 'landlord', 'village', 'eastern', 'turkey', 'decides', 'sell', 'land', 'severe', 'drought', 'migrates', 'istanbul', 'family', 'however', 'struggle', 'survival', 'big', 'city', 'easier']",8.7
Neseli Günler,orhanaksoy,"['orhanaksoy', 'comedy', 'drama', 'family', 'midaged', 'couple', '6', 'kid', 'running', 'pickle', 'shop', 'get', 'divorced', '3', 'kid', 'family', 'member', 'find', 'year', 'later', 'funny', 'story']",8.7
The Chaos Class Is Waking Up,ertemegilmez,"['ertemegilmez', 'adventure', 'comedy', 'kind', 'hardworking', 'student', 'join', 'hababam', 'sinifi', 'chaos', 'class', 'dont', 'accept', 'one', 'becomes', 'target', 'class', 'prank']",8.7
Oppenheimer,christophernolan,"['christophernolan', 'biography', 'drama', 'history', 'story', 'american', 'scientist', 'j', 'robert', 'oppenheimer', 'role', 'development', 'atomic', 'bomb']",8.6
Se7en,davidfincher,"['davidfincher', 'crime', 'drama', 'mystery', 'two', 'detective', 'rookie', 'veteran', 'hunt', 'serial', 'killer', 'us', 'seven', 'deadly', 'sin', 'motif']",8.6
The Silence of the Lambs,jonathandemme,"['jonathandemme', 'crime', 'drama', 'thriller', 'young', 'fbi', 'cadet', 'must', 'receive', 'help', 'incarcerated', 'manipulative', 'cannibal', 'killer', 'help', 'catch', 'another', 'serial', 'killer', 'madman', 'skin', 'victim']",8.6
Saving Private Ryan,stevenspielberg,"['stevenspielberg', 'drama', 'war', 'following', 'normandy', 'landing', 'group', 'u', 'soldier', 'go', 'behind', 'enemy', 'line', 'retrieve', 'paratrooper', 'whose', 'brother', 'killed', 'action']",8.6
Star Wars: Episode IV - A New Hope,georgelucas,"['georgelucas', 'action', 'adventure', 'fantasy', 'luke', 'skywalker', 'join', 'force', 'jedi', 'knight', 'cocky', 'pilot', 'wookiee', 'two', 'droids', 'save', 'galaxy', 'empire', 'worlddestroying', 'battle', 'station', 'also', 'attempting', 'rescue', 'princess', 'leia', 'mysterious', 'darth', 'vader']",8.6
The Green Mile,frankdarabont,"['frankdarabont', 'crime', 'drama', 'fantasy', 'tale', 'set', 'death', 'row', 'southern', 'jail', 'gentle', 'giant', 'john', 'posse', 'mysterious', 'power', 'heal', 'people', 'ailment', 'lead', 'guard', 'paul', 'recognizes', 'john', 'gift', 'try', 'help', 'stave', 'condemned', 'man', 'execution']",8.6
Spirited Away,hayaomiyazaki,"['hayaomiyazaki', 'animation', 'adventure', 'family', 'family', 'move', 'suburb', 'sullen', '10yearold', 'girl', 'wanders', 'world', 'ruled', 'god', 'witch', 'spirit', 'world', 'human', 'changed', 'beast']",8.6
Terminator 2: Judgment Day,jamescameron,"['jamescameron', 'action', 'scifi', 'cyborg', 'identical', 'one', 'failed', 'kill', 'sarah', 'connor', 'must', 'protect', 'ten', 'year', 'old', 'son', 'john', 'even', 'advanced', 'powerful', 'cyborg']",8.6
City of God,fernandomeirelles kátialund,"['fernandomeirelles', 'kátialund', 'crime', 'drama', 'slum', 'rio', 'two', 'kid', 'path', 'diverge', 'one', 'struggle', 'become', 'photographer', 'kingpin']",8.6
Life Is Beautiful,robertobenigni,"['robertobenigni', 'comedy', 'drama', 'romance', 'openminded', 'jewish', 'waiter', 'son', 'become', 'victim', 'holocaust', 'us', 'perfect', 'mixture', 'humor', 'imagination', 'protect', 'son', 'danger', 'around', 'camp']",8.6
It's a Wonderful Life,frankcapra,"['frankcapra', 'drama', 'family', 'fantasy', 'angel', 'sent', 'heaven', 'help', 'desperately', 'frustrated', 'businessman', 'showing', 'life', 'would', 'like', 'never', 'existed']",8.6
Seven Samurai,akirakurosawa,"['akirakurosawa', 'action', 'drama', 'farmer', 'village', 'exploited', 'bandit', 'hire', 'veteran', 'samurai', 'protection', 'gather', 'six', 'samurai', 'join']",8.6
Harakiri,masakikobayashi,"['masakikobayashi', 'action', 'drama', 'mystery', 'ronin', 'requesting', 'seppuku', 'feudal', 'lord', 'palace', 'told', 'brutal', 'suicide', 'another', 'ronin', 'previously', 'visited', 'reveals', 'past', 'intertwined', 'challenge', 'clan', 'integrity']",8.6
The Kashmir Files,vivekagnihotri,"['vivekagnihotri', 'drama', 'heartwrenching', 'tale', 'capture', 'pain', 'suffering', 'struggle', 'kashmiri', 'pandit', 'community', '1990', 'lead', 'krishna', 'young', 'college', 'student', 'set', 'quest', 'uncover', 'truth']",8.6
Sita Ramam,hanuraghavapudi,"['hanuraghavapudi', 'action', 'drama', 'mystery', 'orphan', 'soldier', 'lieutenant', 'ram', 'life', 'change', 'get', 'letter', 'girl', 'named', 'sita', 'meet', 'love', 'blossom', 'come', 'back', 'camp', 'kashmir', 'get', 'caught', 'jail', 'sends', 'letter', 'sita', 'wont', 'reach']",8.6
A Dog's Will,guelarraes,"['guelarraes', 'comedy', 'drama', 'fantasy', 'follows', 'life', '2', 'poor', 'brazilian', 'scheme', 'get', 'money', 'consequence', 'action']",8.6
"Pretty Village, Pretty Flame",srdjandragojevic,"['srdjandragojevic', 'comedy', 'drama', 'history', 'war', 'bosnia', 'two', 'childhood', 'friend', 'eventually', 'become', 'enemy', 'tragic', 'devastating', 'circumstance', 'war', 'put', 'opposite', 'side', 'expose', 'gruesome', 'cruel', 'aspect', 'human', 'nature']",8.6
Nayakan,maniratnam,"['maniratnam', 'crime', 'drama', 'common', 'man', 'struggle', 'corrupt', 'police', 'force', 'put', 'wrong', 'side', 'law', 'becomes', 'loved', 'respected', 'many', 'growing', 'power', 'influence', 'exact', 'heavy', 'toll']",8.6
Anbe Sivam,sundarc.,"['sundarc', 'adventure', 'comedy', 'drama', 'two', 'men', 'one', 'young', 'arrogant', 'damaged', 'physically', 'spiritually', 'life', 'thrown', 'together', 'circumstance', 'find', 'way', 'bound', 'together', 'fate']",8.6
The Chaos Class Is on Vacation,ertemegilmez,"['ertemegilmez', 'adventure', 'comedy', 'drama', 'hababam', 'sinifi', 'chaos', 'class', 'continue', 'adventure', 'first', 'female', 'student', 'school', 'history', 'join', 'class', 'hababam', 'sinifi', 'fight', 'first', 'see', 'full', 'summary', '»']",8.6
Gladiator,ridleyscott,"['ridleyscott', 'action', 'adventure', 'drama', 'former', 'roman', 'general', 'set', 'exact', 'vengeance', 'corrupt', 'emperor', 'murdered', 'family', 'sent', 'slavery']",8.5
The Departed,martinscorsese,"['martinscorsese', 'crime', 'drama', 'thriller', 'undercover', 'cop', 'mole', 'police', 'attempt', 'identify', 'infiltrating', 'irish', 'gang', 'south', 'boston']",8.5
Alien,ridleyscott,"['ridleyscott', 'horror', 'scifi', 'crew', 'commercial', 'spacecraft', 'encounter', 'deadly', 'lifeform', 'investigating', 'unknown', 'transmission']",8.5
Parasite,bongjoonho,"['bongjoonho', 'drama', 'thriller', 'greed', 'class', 'discrimination', 'threaten', 'newly', 'formed', 'symbiotic', 'relationship', 'wealthy', 'park', 'family', 'destitute', 'kim', 'clan']",8.5
The Prestige,christophernolan,"['christophernolan', 'drama', 'mystery', 'scifi', 'tragic', 'accident', 'two', 'stage', 'magician', '1890s', 'london', 'engage', 'battle', 'create', 'ultimate', 'illusion', 'sacrificing', 'everything', 'outwit']",8.5
Back to the Future,robertzemeckis,"['robertzemeckis', 'adventure', 'comedy', 'scifi', 'marty', 'mcfly', '17yearold', 'high', 'school', 'student', 'accidentally', 'sent', '30', 'year', 'past', 'timetraveling', 'delorean', 'invented', 'close', 'friend', 'maverick', 'scientist', 'doc', 'brown']",8.5
Whiplash,damienchazelle,"['damienchazelle', 'drama', 'music', 'promising', 'young', 'drummer', 'enrolls', 'cutthroat', 'music', 'conservatory', 'dream', 'greatness', 'mentored', 'instructor', 'stop', 'nothing', 'realize', 'student', 'potential']",8.5
Psycho,alfredhitchcock,"['alfredhitchcock', 'horror', 'mystery', 'thriller', 'phoenix', 'secretary', 'embezzles', '40', '000', 'employer', 'client', 'go', 'run', 'check', 'remote', 'motel', 'run', 'young', 'man', 'domination', 'mother']",8.5
Léon: The Professional,lucbesson,"['lucbesson', 'action', 'crime', 'drama', '12yearold', 'mathilda', 'reluctantly', 'taken', 'léon', 'professional', 'assassin', 'family', 'murdered', 'unusual', 'relationship', 'form', 'becomes', 'protégée', 'learns', 'assassin', 'trade']",8.5
Django Unchained,quentintarantino,"['quentintarantino', 'drama', 'western', 'help', 'german', 'bountyhunter', 'freed', 'slave', 'set', 'rescue', 'wife', 'brutal', 'plantation', 'owner', 'mississippi']",8.5
The Usual Suspects,bryansinger,"['bryansinger', 'crime', 'drama', 'mystery', 'sole', 'survivor', 'pier', 'shootout', 'tell', 'story', 'notorious', 'criminal', 'influenced', 'event', 'began', 'five', 'criminal', 'meeting', 'seemingly', 'random', 'police', 'lineup']",8.5
The Lion King,rogerallers robminkoff,"['rogerallers', 'robminkoff', 'animation', 'adventure', 'drama', 'lion', 'prince', 'simba', 'father', 'targeted', 'bitter', 'uncle', 'want', 'ascend', 'throne']",8.5
The Pianist,romanpolanski,"['romanpolanski', 'biography', 'drama', 'music', 'polish', 'jewish', 'musician', 'struggle', 'survive', 'destruction', 'warsaw', 'ghetto', 'world', 'war', 'ii']",8.5
American History X,tonykaye,"['tonykaye', 'crime', 'drama', 'living', 'life', 'marked', 'violence', 'neonazi', 'derek', 'finally', 'go', 'prison', 'killing', 'two', 'black', 'youth', 'upon', 'release', 'derek', 'vow', 'change', 'hope', 'prevent', 'brother', 'danny', 'idolizes', 'derek', 'following', 'footstep']",8.5
Casablanca,michaelcurtiz,"['michaelcurtiz', 'drama', 'romance', 'war', 'cynical', 'expatriate', 'american', 'cafe', 'owner', 'struggle', 'decide', 'whether', 'help', 'former', 'lover', 'fugitive', 'husband', 'escape', 'nazi', 'french', 'morocco']",8.5
Cinema Paradiso,giuseppetornatore,"['giuseppetornatore', 'drama', 'romance', 'filmmaker', 'recall', 'childhood', 'falling', 'love', 'picture', 'cinema', 'home', 'village', 'form', 'deep', 'friendship', 'cinema', 'projectionist']",8.5
The Intouchables,oliviernakache érictoledano,"['oliviernakache', 'érictoledano', 'biography', 'comedy', 'drama', 'becomes', 'quadriplegic', 'paragliding', 'accident', 'aristocrat', 'hire', 'young', 'man', 'project', 'caregiver']",8.5
Grave of the Fireflies,isaotakahata,"['isaotakahata', 'animation', 'drama', 'war', 'young', 'boy', 'little', 'sister', 'struggle', 'survive', 'japan', 'world', 'war', 'ii']",8.5
Rear Window,alfredhitchcock,"['alfredhitchcock', 'mystery', 'thriller', 'photographer', 'wheelchair', 'spy', 'neighbor', 'greenwich', 'village', 'courtyard', 'apartment', 'window', 'becomes', 'convinced', 'one', 'committed', 'murder', 'despite', 'skepticism', 'fashionmodel', 'girlfriend']",8.5
Once Upon a Time in the West,sergioleone,"['sergioleone', 'western', 'mysterious', 'stranger', 'harmonica', 'join', 'force', 'notorious', 'desperado', 'protect', 'beautiful', 'widow', 'ruthless', 'assassin', 'working', 'railroad']",8.5
Modern Times,charleschaplin,"['charleschaplin', 'comedy', 'drama', 'romance', 'tramp', 'struggle', 'live', 'modern', 'industrial', 'society', 'help', 'young', 'homeless', 'woman']",8.5
City Lights,charleschaplin,"['charleschaplin', 'comedy', 'drama', 'romance', 'aid', 'wealthy', 'erratic', 'tippler', 'dewyeyed', 'tramp', 'fallen', 'love', 'sightless', 'flower', 'girl', 'accumulates', 'money', 'able', 'help', 'medically']",8.5
Woman in the Dunes,hiroshiteshigahara,"['hiroshiteshigahara', 'drama', 'thriller', 'entomologist', 'vacation', 'trapped', 'local', 'villager', 'living', 'woman', 'whose', 'life', 'task', 'shoveling', 'sand']",8.5
