title,authors,text,average_rating,ratings_count
Assassin's Apprentice,robinhobb,"['robinhobb', 'american', 'fiction', 'fantasyroman']",4.15,133972.0
Warhost of Vastmark,jannywurts,"['jannywurts', 'fiction', 'tricked', 'wily', 'halfbrother', 'lysaer', 'lord', 'light', 'arrives', 'tiny', 'harbor', 'town', 'merior', 'find', 'arithons', 'ship', 'yard', 'abandoned', 'meticulously', 'destroyed', 'master', 'shadow', 'disappeared', 'thin', 'air', 'meanwhile', 'arithon', 'mad', 'prophet', 'dakar', 'traveling', 'foot', 'treacherous', 'kelhorn', 'mountain', 'towards', 'vastmark', 'clan', 'raise', 'support', 'cause', 'raising', 'warhost', 'costly', 'business', 'mere', 'coincidence', 'princess', 'talith—lysaers', 'beautiful', 'headstrong', 'wife—is', 'taken', 'captive', 'held', 'vast', 'ransom', 'master', 'brigand', 'force', 'light', 'shadow', 'circle', 'feint', 'drawing', 'ever', 'closer', 'huge', 'conflict', 'background', 'fellowship', 'seven', 'sorcerer', 'koriani', 'enchantress', 'watch', 'plan', 'wait']",4.03,2966.0
The Once and Future King,terencehanburywhite,"['terencehanburywhite', 'arthurian', 'romance', 'omnibus', 'volume', 'author', 'complete', 'story', 'arthurian', 'epic', 'includes', 'sword', 'stone', '1939', 'witch', 'wood', '1939', 'illmade', 'knight', '1940', 'candle', 'wind', 'published', 'first', 'time', 'book', 'merlyn', '1996']",4.04,2805.0
Murder in LaMut,raymondefeist joelrosenberg,"['raymondefeist', 'joelrosenberg', 'adventure', 'story', 'available', 'u', 'first', 'time', 'second', 'volume', 'exceptional', 'legend', 'riftwar', 'series', 'new', 'york', 'timesbestselling', 'author', 'feist', 'rosenberg']",3.7,5083.0
Jimmy the Hand,raymondefeist smstirling,"['raymondefeist', 'smstirling', 'fantasy', 'fiction', 'jimmy', 'hand', 'boy', 'thief', 'krondor', 'lived', 'shadow', 'city', 'though', 'gifted', 'beyond', 'peer', 'jimmy', 'merely', 'pickpocket', 'potentialuntil', 'aid', 'prince', 'arutha', 'rescue', 'princess', 'anita', 'duke', 'guy', 'du', 'bastyra', 'run', 'afoul', 'black', 'guy', 'secret', 'police', 'facing', 'choice', 'disappearing', 'weighted', 'barrel', 'bottom', 'krondors', 'harbor', 'jimmy', 'chooses', 'former', 'forced', 'flee', 'home', 'he', 'ever', 'known', 'jimmy', 'find', 'among', 'unsuspecting', 'rural', 'villager', 'land', 'end', 'hope', 'prosper', 'talent', 'con', 'thievery', 'land', 'end', 'home', 'many', 'tread', 'crooked', 'pathand', 'dark', 'dangerous', 'presence', 'even', 'local', 'smuggler', 'dont', 'recognize', 'suddenly', 'jimmy', 'youthful', 'bravado', 'courage', 'leading', 'maw', 'chaos', 'quite', 'possibly', 'doom']",3.95,5579.0
Witness for the Prosecution & Selected Plays,agathachristie,"['agathachristie', 'english', 'drama', 'newlyjacketed', 'edition', 'designed', 'celebrate', '50th', 'anniversary', 'christie', 'faultlessly', 'plotted', 'witness', 'prosecution', 'outstanding', 'play', 'perfect', 'complement', 'latest', 'edition', 'mousetrap', 'selected', 'play', '50th', 'aniversary', 'edition', 'headlining', 'book', 'witness', 'prosecution', 'christie', 'highly', 'successful', 'stage', 'play', 'new', 'york', 'drama', 'critic', 'circle', 'award', 'best', 'foreign', 'play', 'stunning', 'courtroom', 'drama', 'tell', 'story', 'scheming', 'wife', 'testifying', 'husband', 'shocking', 'murder', 'trial', 'wild', 'beauty', 'seaside', 'house', 'perched', 'high', 'devonshire', 'river', 'tern', 'provides', 'stunning', 'backdrop', 'towards', 'zero', 'psychopathic', 'murderer', 'home', 'unsuspecting', 'victim', 'passion', 'murder', 'love', 'deadly', 'ingredient', 'verdict', 'making', 'one', 'christie', 'unusual', 'thriller', 'prompting', 'label', 'best', 'play', 'written', 'exception', 'witness', 'prosecution', 'go', 'back', 'murder', 'tell', 'story', 'young', 'feisty', 'carla', 'orphaned', 'tender', 'age', 'five', 'discovers', 'mother', 'imprisioned', 'murdering', 'father', 'determines', 'prove', 'innocence']",4.05,3908.0
The Little House,philippagregory,"['philippagregory', 'country', 'life', 'easy', 'elizabeth', 'married', 'man', 'loved', 'harder', 'ruth', 'married', 'elizabeth', 'son', 'found', 'somehow', 'could', 'never', 'quite', 'measure', 'thriller', 'examines', 'woman', 'want', 'fear', 'ruth', 'confronts', 'shifting', 'border', 'sanity']",3.66,1832.0
Mystical Paths,susanhowatch,"['susanhowatch', 'english', 'fiction', '1968', 'find', 'nicholas', 'darrow', 'wrestling', 'personal', 'problem', 'marry', 'rosalind', 'unable', 'avoid', 'promiscuity', 'become', 'priest', 'find', 'difficult', 'live', 'one', 'break', 'dangerous', 'dependence', 'father']",4.23,1023.0
Glittering Images,susanhowatch,"['susanhowatch', 'english', 'fiction', '1937', 'charles', 'ashworth', 'canon', 'archbishop', 'canterbury', 'sent', 'untangle', 'web', 'selfdelusion', 'corruption', 'episcopal', 'palace', 'charismatic', 'bishop', 'starbridge']",4.07,2045.0
Glamorous Powers,susanhowatch,"['susanhowatch', 'clergy', 'reissue', 'author', 'famous', 'wellloved', 'work', 'starbridge', 'series', 'six', 'selfcontained', 'yet', 'interconnected', 'novel', 'explore', 'history', 'church', 'england', '20th', 'century']",4.2,1441.0
